PlantId,PlantName,Cap_kW,District,Province,lat,lon,precision,source,matched_to
187,Karuwa Seti HPP,32000.0,Kaski,Gandaki,28.2088,83.991,river,"on Seti Nadi, nearest Kaski",Seti Nadi
188,Jogmai Cascade HPP,5200.0,Ilam,Province 1,26.897738,87.994422,plus,"Google Maps VXXV+3QV, Namsaling 57300",
189,Rele Khola HPP,6000.0,Myagdi,Gandaki,28.530188,83.679813,plus,"Google Maps GMJH+3W, Narchyang 33200",
190,Madhya Bhotekoshi HPP,102000.0,,Province 1,27.881306,85.9095,plus,cited: author-supplied coordinates,
191,Sagu khola 1 HPP,5500.0,Dolakha,Bagmati,27.7883,86.0931,plus,cited: operator-reported site coordinates,
192,Sagu Khola HEP,20000.0,Dolakha,Bagmati,27.788113,86.115547,plus,"Google Maps Q4Q8+66V, 45500",
193,Upper Tadi,11000.0,Nuwakot,Bagmati,27.973012,85.436922,plus,"Google Maps XCFP+6Q3, Ghyangphedi 44900",
194,Rahughat Mangale,37000.0,Myagdi,Bagmati,28.475562,83.518422,plus,"Google Maps FGG9+69F, Sisneri, Pakhapani 33200",
195,Lower Solu Hydropower Project,82000.0,Solukhumbu,Province 1,27.3652,86.6791,river,"on Solu Khola, nearest Solukhumbu",Solu Khola
196,Kabeli-3 Cascade HEP,21930.0,Taplejung,Province 1,27.3608,87.8612,river,"on Kabeli, nearest Taplejung",Kabeli
197,Upper Piluwa 3 HPP,4950.0,Sankhuwasabha,Province 1,27.298,87.4072,plus,"cited: Piluwa/Sikhuwa Khola confluence (one end of the cited river reach, not the powerhouse)",
198,Buku-Kapati HPP,5000.0,Okhaldunga,Province 1,27.518512,86.398641,plus,"Google Maps G99X+CF2, Goli 56000",
199,Upper Rahughat,48500.0,Myagdi,Gandaki,28.376212,83.572359,plus,"Google Maps 9HGC+FWQ, F042, Rakhu Piple 33200",
200,Upper Gaddi Gad,1550.0,Doti,Sudurpashchim,29.280938,81.058937,plus,"Google Maps 73J5+9H, Sanagaun 10800",
201,Daram Khola HEP,9600.0,Baglung,Gandaki,28.2641,83.4304,river,"on Daram Khola, nearest Baglung",Daram Khola
202,Thulo Khola HPP,21300.0,Myagdi,Bagmati,28.5751,83.5367,plus,cited: author-supplied decimal coordinates,
203,Madme Khola HPP,24000.0,Kaski,Gandaki,28.419562,84.116312,plus,"Google Maps C498+RG, Namarjung 33700",
204,Khorunga Khola HPP,4800.0,Tehrathum,Province 1,27.159987,87.544641,plus,"Google Maps 5G5V+XVR, Oyakjung 57500",
205,Hidi Khola HEP,6820.0,Lamjung,Gandaki,28.226562,84.110062,plus,"Google Maps 64G6+J2, Saimarang 33700",
206,Mathillo Thulo Khola A HEP,22500.0,Myagdi,Gandaki,28.581937,83.537562,plus,"Google Maps HGJQ+Q2, Chimkhola 33200",
207,Buku Khola HPP,6000.0,Okhaldunga,Province 1,27.523687,86.350812,plus,"Google Maps G9F2+F8, Rawadolu",
208,Lower Irkhuwa Khola HPP,14150.0,Bhojpur,Province 1,27.4156,87.114,plus,cited: gem.wiki + nhpcl.com,
209,Siddhi Khola HPP,10000.0,Ilam,Province 1,26.833613,88.157672,plus,"Google Maps R5M5+C3V, Jirmale 57300",
210,Mewa Khola HPP,50000.0,Taplejung,Province 1,27.416162,87.614484,plus,"Google Maps CJ87+FQ9, 57500",
