S.N,Year Month,Metered Energy,Energy to R.E. (Local distribution),Internal Consumption,Total Energy Generation,Backfeed Energy From NEA,Backfeed Amount,Rate to NEA,R.E Rate (NRS),Invoice to NEA(NRS),Amount paid by NEA (NRs),Amount Deducted,Revenue From R.E (NRs) Local Distribution,Previous Due Royalty Chargeable Rs,Royalty Amount,col,PlantId,FiscalId,Plant,FiscalYear,Additional Energy,Transmission Loss,Seasional Rate,Billed Amount to NEA,Amount paid by NEA Rs,Late COD & Other Fine Rs,Short Supply,Remarks,Seasional Rate (USD),Exchange Rate,Invoice to NEA(USD),Amount paid by NEA (USD)
6,2074/6,13616489.00,4330677.00,53168.00,4383845.00,0.00,0.00,4.48,,19068846.24,19068846.24,0.00,,32685335.00,3268533.5,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
7,2074/7,11310096.00,4543448.00,48020.00,4591468.00,0.00,0.00,4.48,,19545111.44,19545111.44,0.00,,30855207.00,3085520.7,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
8,2074/8,10565804.00,2451431.00,1385945.00,3837376.00,0.00,0.00,4.48,,10982410.88,10982410.88,0.00,,21548215.00,2154821.5,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
9,2074/9,10428250.00,1318029.00,917098.00,2235127.00,0.00,0.00,4.48,,5904769.92,5904769.92,0.00,,16333020.00,1633302.0,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
10,2074/10,11025565.00,1007512.00,426351.00,1433863.00,0.00,0.00,4.48,,4513654.57,4513654.57,0.00,,15539220.00,1553922.0,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
11,2074/11,10292482.00,923294.00,103205.00,1026499.00,0.00,0.00,4.48,,4006025.77,4006025.77,130332.00,,14298508.00,1429850.8,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
12,2074/12,10396379.00,469854.00,41487.00,511341.00,0.00,0.00,4.48,,0.00,0.00,157327.00,,10396379.00,1039637.9,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,27529998.1,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,34487361.0,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,21843921.1,,8,10,"Aandikhola HP , 9400 kW",074/75,,,,,,,,,,,,
1,2070/1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
2,2070/2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
3,2070/3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
4,2070/4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
5,2070/5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
6,2070/6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
7,2070/7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
8,2070/8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
9,2070/9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
10,2070/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
11,2070/11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
12,2070/12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,5100000.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,0.0,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,8429167.12,,8,6,"Aandikhola HP , 9400 kW",070/71,,,,,,,,,,,,
1,2072/1,8382607.00,-1109134.00,49790.00,2133300.00,0.00,0.00,2.63,,0.00,-4968921.00,0.00,,3413686.00,341368.6,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
2,2072/2,8304274.00,3946029.00,47267.00,6944640.00,0.00,0.00,2.81,,16994158.01,16994158.00,0.00,,25298432.00,2529843.2,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
3,2072/3,7914431.00,3653270.00,28100.00,6419641.00,0.00,0.00,2.89,,0.00,14707156.00,0.00,,22621587.00,2262158.7,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
4,2072/4,8181103.00,3990839.00,33555.00,7104720.00,0.00,0.00,2.66,,0.00,17465882.00,0.00,,25646985.00,2564698.5,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
5,2072/5,8375176.00,3855254.00,31440.00,6921239.00,0.00,0.00,2.76,,0.00,16946548.00,0.00,,25321724.00,2532172.4,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
6,2072/6,8046900.00,3974481.00,28974.00,6889920.00,0.00,0.00,2.79,,0.00,17401023.00,0.00,,25447923.00,2544792.3,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
7,2072/7,7670491.00,4090601.00,23264.00,6526620.00,0.00,0.00,3.18,,0.00,17941411.00,0.00,,25611902.00,2561190.2,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
8,2072/8,7950538.00,1999504.00,1385636.00,6011940.00,0.00,0.00,3.03,,8957777.96,8957778.00,0.00,,16908316.00,1690831.6,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
9,2072/9,8163474.00,1264973.00,867434.00,4677959.00,0.00,0.00,3.21,,5667080.56,0.00,0.00,,8163474.00,816347.4,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
10,2072/10,8267637.00,990657.00,418897.00,3916980.00,0.00,0.00,3.30,,4438143.67,0.00,0.00,,8267637.00,826763.7,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
11,2072/11,7944928.00,502642.00,106595.00,3016680.00,0.00,0.00,3.30,,2251834.10,0.00,0.00,,7944928.00,794492.8,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
12,2072/12,8114409.00,-234090.00,48727.00,2239080.00,0.00,0.00,3.35,,0.00,-1048723.00,0.00,,7065686.00,706568.6,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,20171228.0,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,5100000.0,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,10992778.0,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,32350572.37,,8,8,"Aandikhola HP , 9400 kW",072/73,,,,,,,,,,,,
1,2076/3,3111395.00,3859763.00,50222.00,7021380.00,,164235.66,4.83,,22684403.73,17291736.45,0.00,15295122.00,32586858.45,3258685.85,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
2,2076/4,3299544.00,3511526.00,54010.00,6865080.00,,338928.29,4.83,,16232730.82,15811811.46,0.00,15010367.00,30822178.46,3082217.85,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
3,2076/5,3287221.00,3795010.00,57469.00,7139700.00,,263288.03,4.83,,17633527.20,17102745.91,0.00,16475023.00,33577768.91,3357776.89,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
4,2076/6,2640241.00,3990515.00,48744.00,6679500.00,,51049.71,4.83,,18732533.60,18014312.93,0.00,13365269.00,31379581.93,3137958.19,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
5,2076/7,2486384.00,4373418.00,89518.00,6949320.00,,21632.99,4.83,,20298502.14,19484530.80,0.00,11961843.00,31446373.80,3144637.38,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
6,2076/8,2588227.00,2610644.00,1389489.00,6588360.00,,83596.35,4.83,,11695683.37,11695683.37,0.00,11077921.00,22773604.37,2277360.44,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
7,2076/9,2541084.00,2153938.00,892838.00,5587860.00,,23892.54,4.83,,9649643.81,9649643.81,0.00,12745456.00,22395099.81,2239509.98,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
8,2076/10,2408329.00,2094217.00,420874.00,4923420.00,,14549.69,4.83,,9409241.10,9257204.52,0.00,11981131.00,21238335.52,2123833.55,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
9,2076/11,2397125.00,1899145.00,103590.00,4399860.00,,14359.16,4.83,,8572090.46,8214126.85,0.00,11858695.00,20072821.85,2007282.19,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
10,2076/12,2317337.00,1660949.00,47294.00,4025580.00,,28901.44,4.83,,6972520.60,6967371.93,0.00,11443872.00,18411243.93,1841124.39,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
11,2077/1,2405650.00,1903215.00,1555055.00,5863920.00,,139298.44,4.83,,8625151.52,8625152.00,0.00,10685258.00,19310410.00,1931041.0,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
12,2077/2,2956119.00,4214059.00,49682.00,7219860.00,,39780.24,4.83,,19139164.83,19139164.83,0.00,12209823.00,31348987.83,3134898.78,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
13,2077/13,,,,,,,,,,,,,,899886.0,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,32436212.49,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,39174265.07,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,26492506.42,,8,12,"Aandikhola HP , 9400 kW",076/77,,,,,,,,,,,,
1,2071/1,0.00,1678554.00,19244.00,4627980.00,172070.00,0.00,0.00,,7362407.00,2207979.00,5154428.00,,9514637.67,951463.77,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
2,2071/2,0.00,3365921.00,24667.00,6003720.00,95690.00,0.00,0.00,,14445709.00,13828411.00,617298.00,,21545483.82,2154548.38,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
3,2071/3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
4,2071/4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
5,2071/5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
6,2071/6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
7,2071/7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
8,2071/8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
9,2071/9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
10,2071/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
11,2071/11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
12,2071/12,0.00,755734.00,14438.00,2998860.00,109040.00,0.00,0.00,,4321483.00,4321483.00,0.00,,6441411.03,644141.1,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,3750153.25,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,5892777.96,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,0.0,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,18072122.33,,8,7,"Aandikhola HP , 9400 kW",071/72,,,,,,,,,,,,
1,2066/1,0.00,1164388.00,12087.00,2519900.00,12087.00,0.00,3.76,,4378099.00,4378099.00,0.00,,8715883.98,871588.4,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
2,2066/2,0.00,1774466.00,12435.00,3238750.00,12435.00,0.00,3.76,,6671992.00,6671992.00,0.00,,11100712.19,1110071.22,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
3,2066/3,0.00,2135234.00,13030.00,3412950.00,13030.00,0.00,3.55,,7580081.00,7580081.00,0.00,,11589009.15,1158900.92,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
4,2066/4,0.00,2140349.00,14146.00,3510700.00,14146.00,0.00,3.76,,8047712.00,8047712.00,0.00,,12007559.36,1200755.94,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
5,2066/5,0.00,2201456.00,12085.00,3558450.00,12085.00,0.00,3.76,,8277475.00,8277475.00,0.00,,12444944.52,1244494.45,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
6,2066/6,0.00,2236486.00,11248.00,3596450.00,11248.00,0.00,3.76,,8409187.00,8409187.00,0.00,,12661149.06,1266114.91,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
7,2066/7,0.00,2193463.00,10870.00,3398550.00,10870.00,0.00,3.76,,8247421.00,8247421.00,0.00,,12185948.67,1218594.87,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
8,2066/8,0.00,2186119.00,12235.00,3490400.00,12235.00,0.00,3.13,,8219807.00,8219807.00,0.00,,12267916.32,1226791.63,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
9,2066/9,0.00,2167719.00,14314.00,3409400.00,14314.00,0.00,3.76,,8150623.00,8150623.00,0.00,,12412900.38,1241290.04,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
10,2066/10,0.00,2087575.00,13397.00,3352100.00,13397.00,0.00,3.76,,7849282.00,7849282.00,0.00,,11874536.11,1187453.61,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
11,2066/11,0.00,1891182.00,11254.00,3124650.00,11254.00,0.00,3.76,,7110844.00,7110844.00,0.00,,11270038.24,1127003.82,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
12,2066/12,0.00,636711.00,11867.00,1883700.00,11867.00,0.00,3.76,,2394033.00,2394033.00,0.00,,6687934.63,668793.46,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,13521853.27,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,5100000.0,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,18621851.0,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,1.01,,8,1,"Aandikhola HP , 9400 kW",066/67,,,,,,,,,,,,
1,2069/1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
2,2069/2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
3,2069/3,5681189.00,1231399.49,6431.65,1299081.14,334080.00,0.00,4.22,,5196505.85,5196505.85,0.00,,10877695.00,1087769.5,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
4,2069/4,5962156.00,1546190.60,7404.90,1666721.90,354060.00,0.00,4.48,,6926933.89,6926933.89,0.00,,12889090.00,1288909.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
5,2069/5,6039536.00,1456451.68,12544.70,1582321.98,444960.00,0.00,4.48,,6524903.53,6524903.53,0.00,,12564440.00,1256444.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
6,2069/6,5918205.00,1265012.26,10443.40,1364689.66,607950.00,0.00,4.48,,5667254.93,5667254.93,0.00,,11585460.00,1158546.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
7,2069/7,5714072.00,1724172.49,9098.80,1826217.29,511200.00,0.00,4.48,,7724292.76,7724292.76,0.00,,13438365.00,1343836.5,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
8,2069/8,5719749.00,-902915.92,6078.90,-887248.02,1320037.27,0.00,4.48,,-5619672.06,-5619672.06,0.00,,100077.00,10007.7,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
9,2069/9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
10,2069/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
11,2069/11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
12,2069/12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,6145512.7,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,5100000.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,7681902.0,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,3329167.12,,8,5,"Aandikhola HP , 9400 kW",069/70,,,,,,,,,,,,
1,2067/1,4666161.92,902998.98,5987.80,2189800.00,422400.00,0.00,3.98,,3593935.92,3593935.92,0.00,,8260097.92,826009.79,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
2,2067/2,4865900.27,1860314.22,5608.30,3368900.00,129840.00,0.00,3.98,,7404050.60,7404050.60,0.00,,12269951.27,1226995.13,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
3,2067/3,4804007.57,2057774.58,7783.40,3596100.00,111600.00,0.00,3.76,,7737232.42,7737232.42,0.00,,12541239.57,1254123.96,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
4,2067/4,4593710.83,1655836.00,9150.55,3196400.00,191100.00,0.00,3.98,,6590227.28,6590227.28,0.00,,11183937.83,1118393.78,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
5,2067/5,4821057.63,1708735.00,7337.80,3252700.00,231900.00,0.00,3.98,,6800765.30,6800765.30,0.00,,11621822.63,1162182.26,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
6,2067/6,4658116.26,1859411.00,6824.30,3313000.00,224160.00,0.00,3.98,,7400455.78,7400455.78,0.00,,12058572.26,1205857.23,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
7,2067/7,4598100.87,2038528.00,6746.50,3474000.00,234480.00,0.00,3.98,,8113341.44,8113341.44,0.00,,12711441.87,1271144.19,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
8,2067/8,4700930.97,1331901.00,6478.50,2711850.00,484260.00,0.00,3.98,,5300965.98,5300965.98,0.00,,10001896.97,1000189.7,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
9,2067/9,4774456.07,2085755.00,6638.05,3602950.00,306600.00,0.00,3.98,,8301304.90,8301304.90,0.00,,13075761.07,1307576.11,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
10,2067/10,4704945.32,1855816.86,6326.85,3261500.00,300840.00,0.00,3.98,,7386151.10,7386151.10,0.00,,12091096.32,1209109.63,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
11,2067/11,4618085.17,1618230.98,5876.15,2877800.00,295860.00,0.00,3.98,,6440559.30,6440559.30,0.00,,11058644.17,1105864.42,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
12,2067/12,4760801.67,813089.18,5713.40,2114000.00,460560.00,0.00,3.98,,3236094.94,3236094.94,0.00,,7996896.67,799689.67,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,13487135.87,,8,2,"Aandikhola HP , 9400 kW",067/68,,,,,,,,,,,,
